"2 from _ent1_Masta_Killa's second LP, Made in _ent2_Brooklyn and on the track ""Return of the North Star"" from Raekwon's Only Built 4 Cuban Linx...",hasPlaceOfBirth
"Jewell Stovall, better known as _ent1_Babe_Stovall (_ent2_October_14,_1907 – September 21, 1974), was an American Delta blues singer and guitarist.",hasDateOfBirth
He has cited _ent1_Freddie_King and _ent2_Z._Z._Hill as influences on his playing style.,no_relation_found
"Lee McBee (March 23, 1951 – _ent1_June 24, _ent2_2014) was an American electric blues musician, singer and harmonica player from Kansas City, Missouri.
",hasYearStarted
"Following the album's failure, _ent1_Everlast teamed up with fellow Taft High alums DJ Lethal and Danny Boy to form _ent2_House_of_Pain in Los Angeles, California.",hasMembershipOf
"_ent1_Diane_Joan_Schuur (born _ent2_December_10,_1953), nicknamed ""Deedles"", is an American jazz singer and pianist.  ",no_relation_found
"His group, known simply as the Tommy Z Band, has won the Top _ent1_Blues/Crossover _ent1_Blues Band category (1994, _ent2_2005 and 2006).",hasYearStarted
"_ent1_Doug_Sahm was born in San Antonio, Texas, on _ent2_November_6,_1941, to Victor A. Sahm, Sr.",hasDateOfBirth
"The _ent1_Devil signaled a new direction in _ent2_Ricci's musical inspiration, as his study of the occult strongly influenced the writing on the album.",no_relation_found
"_ent1_Dave_Alexander (born David Alexander Elam), also known as Omar Sharriff, Omar Shariff, Omar Hakim Khayam (March 10, 1938 – January 8, _ent2_2012) was an American West Coast blues singer and pianist.


",hasYearStarted
"In late September 1977 Barton joined a new _ent2_Austin blues group Triple Threat Revue, with Stevie Ray Vaughan and _ent1_W._C._Clark.",hasPlaceOfBirth
"_ent2_Led_Zeppelin vocalist Robert Plant took a recording of ""When the Levee Breaks,"" by McCoy and Memphis Minnie, which was in his personal collection, to guitarist _ent1_Jimmy_Page, who revamped the music, and the band recorded it, with most of the original lyrics",hasMembershipOf
"Jadakiss, part of New York-based group, the L.O.X., first collaborated with a member of the _ent2_Wu-Tang_Clan in 1998 on the single ""John Blaze"" with _ent1_Raekwon.",hasMembershipOf
"Rufus George Perryman (_ent2_October_23,_1892 – January 2, 1973), known as _ent1_Speckled_Red, was an American blues and boogie-woogie piano player and singer noted for his recordings of ""The Dirty Dozens"", exchanges of insults and vulgar remarks that have long been a part of African-American folklore.


",hasDateOfBirth
"is an American blues guitarist and singer and former member of _ent1_John_Mayall & the Bluesbreakers.


",hasMembershipOf
"In 1957, as Jumping _ent1_Joe_Poovey, he recorded ""Move Around"" on the Dixie label, produced by Jim Shell in _ent2_Dallas.  ",hasPlaceOfBirth
"(née L.V. Grant, _ent2_August_7,_1891 – May 20, 1979), better known as _ent1_Elvie_Thomas, was an American country blues singer and guitarist from Houston, Texas.


",hasDateOfBirth
"Bennett enlisted guest appearances from _ent1_Twista, Vic Mensa, Saba, BJ the _ent2_Chicago Kid, Action Bronson, Childish Gambino and Ab-Soul.",hasPlaceOfBirth
"During the Electric Ladyland recording sessions, Hendrix began experimenting with other combinations of musicians, including Jefferson Airplane's Jack Casady and _ent2_Traffic's _ent1_Steve_Winwood, who played bass and organ, respectively, on the 15-minute slow-blues jam, ""Voodoo Chile"".",hasMembershipOf
"McBee was inducted into the Kansas Music Hall of Fame in 2009.He died on _ent1_June 24, _ent2_2014.


",hasYearStarted
"His appearances after the release were constrained by health problems, but he performed around _ent2_Chicago, on his own or backing _ent1_Billy_Boy_Arnold and Big Time Sarah.",hasPlaceOfBirth
"Judgement Day, on the song ""Play IV Keeps,"" which was produced by _ent2_Mobb_Deep producer _ent1_Havoc.",hasMembershipOf
"_ent1_James_Montgomery (born on _ent2_May_12,_1949) is an American blues musician, best known as the lead singer, blues harp player, frontman, and bandleader of The _ent1_James_Montgomery Blues Band (a.k.a. The _ent1_James_Montgomery Band).",hasDateOfBirth
"_ent1_Arbee_Stidham was born at _ent2_De_Valls_Bluff, Arkansas, United States, in 1917 to Luttie Abraham and Mable (née Perkins)",hasPlaceOfBirth
"Drinkin' Wine, Spo-Dee-O-Dee"" continued to be popular throughout the 1950s in cover versions by various artists, including Malcolm Yelvington in _ent2_1954, Johnny Burnette in 1957, and _ent1_Jerry_Lee_Lewis in 1959.McGhee continued to make records for Atlantic and created popular songs such as ""Tennessee Waltz Blues"",",hasYearStarted
"In March 2018, 11-year-old _ent1_Mason_Ramsey, from _ent2_Golconda, Illinois, was caught on camera singing ""Lovesick Blues"" in a Walmart store in Harrisburg, Illinois.",hasPlaceOfBirth
"In December 2014, Lucki collaborated with fellow _ent2_Chicago musician _ent1_Chance_the_Rapper and released a song titled ""Stevie Wonder"".


==",hasPlaceOfBirth
"W.C. Handy _ent1_Blues Award, Soul _ent1_Blues Album of the Year (nominated)
_ent2_2005 –",hasYearStarted
"_ent1_Feinstein, _ent2_Elaine (1985).",no_relation_found
"Admirl Amos Easton (_ent2_May_7,_1905 – June 8, 1968), better known by the stage name _ent1_Bumble_Bee_Slim, was an American Piedmont blues singer and guitarist.


",hasDateOfBirth
"_ent1_Zora_Young (born _ent2_January_21,_1948, West Point, Mississippi, United States) is an American blues singer.",hasDateOfBirth
"_ent1_Diunna_Greenleaf (born _ent2_October_6,_1957) is an American blues singer and songwriter.
",no_relation_found
